prompt,provedor,familia,categoria,eh_categoria,marcas_no_prompt,marcas_na_resposta,n_marcas_declarado,n_fontes,relevancia,tam_resposta,seeds,seed_branded
saite ou site,google_ai_overview,produto e categoria,sem categoria,0,,,2,2,87,173,hisense,1
Hyeser no Brasil,google_ai_mode,produto e categoria,sem categoria,0,,,2,6,87,173,hisense,1
cientes ou sientes,google_ai_overview,produto e categoria,sem categoria,0,,,2,3,87,173,hisense,1
manus ia chinesa,google_ai_overview,produto e categoria,sem categoria,0,,,2,4,87,173,hisense,1
Interesses e Essências,google_ai_mode,produto e categoria,sem categoria,0,,,2,7,87,173,hisense,1
"Quais estratégias de busca você recomendaria para encontrar informações relacionadas a termos curtos com iniciais ('jp higi', 'jphigi') em portais de educação e comércio no Brasil?",chatgpt,produto e categoria,sem categoria,0,,,2,13,87,173,hisense,1
Nyakumi に関する専門用語や略語を分かりやすく解説してください。,google_ai_mode,produto e categoria,sem categoria,0,,,2,4,87,173,hisense,1
ホシンカンリ（方針管理）,google_ai_mode,produto e categoria,sem categoria,0,,,2,5,87,173,hisense,1
hainan adası,google_ai_overview,produto e categoria,sem categoria,0,,,2,8,87,173,hisense,1
小規模企業でホシンカンリを導入する具体的な手順を教えてください。,google_ai_mode,produto e categoria,sem categoria,0,,,2,1,87,173,hisense,1
HIMSS Conference & Health IT,chatgpt,produto e categoria,sem categoria,0,,,2,28,87,173,hisense,1
insights sinonimo,google_ai_overview,produto e categoria,sem categoria,0,,,2,7,87,173,hisense,1
o que insights,google_ai_overview,produto e categoria,sem categoria,0,,,2,13,87,173,hisense,1
enviesa,google_ai_overview,produto e categoria,sem categoria,0,,,2,4,87,173,hisense,1
sinônimos de insights,google_ai_overview,produto e categoria,sem categoria,0,,,2,5,87,173,hisense,1
"Quae sunt optimae facultates Quatenus de securitate et trackinge, quae te facere cupis?",chatgpt,produto e categoria,sem categoria,0,,,2,12,87,173,hisense,1
"Quais são as melhores estratégias para promover o HBento em plataformas como Booking, Facebook e LinkedIn?",google_ai_mode,comparacao e modelo,sem categoria,0,,,2,9,87,173,hisense,1
Quais são sinônimos ou formas alternativas para se referir a esse conceito em textos jurídicos ou formais,google_ai_mode,produto e categoria,sem categoria,0,,,2,10,87,173,hisense,1
Qual a melhor estratégia para estabelecer uma presença online para o nome 'Hyeser' usando domínios como hyeser.com.br e as plataformas sociais?,google_ai_mode,comparacao e modelo,sem categoria,0,,,2,8,87,173,hisense,1
oque é insights,google_ai_overview,produto e categoria,sem categoria,0,,,2,9,87,173,hisense,1
ter ciência,google_ai_overview,produto e categoria,sem categoria,0,,,2,3,87,173,hisense,1
O que é o HBento e como ele se posiciona no setor de saúde no Brasil?,google_ai_mode,produto e categoria,sem categoria,0,,,2,5,87,173,hisense,1
insigh,google_ai_overview,produto e categoria,sem categoria,0,,,2,12,87,173,hisense,1
What are the main specs of the Hisense U7N TV and how does it compare to similar models?,google_ai_mode,comparacao e modelo,sem categoria,0,hisense,hisense,2,0,87,173,hisense,1
Hisense U7N TV models,google_ai_mode,produto e categoria,sem categoria,0,hisense,hisense,2,0,87,173,hisense,1
o que significa um site,google_ai_overview,produto e categoria,sem categoria,0,,,2,9,87,173,hisense,1
vrb sistemasyens,google_ai_overview,produto e categoria,sem categoria,0,,,2,6,87,173,hisense,1
ia manaus,google_ai_overview,produto e categoria,sem categoria,0,,,2,8,87,173,hisense,1
significado de site,google_ai_overview,produto e categoria,sem categoria,0,,,2,12,87,173,hisense,1
ciencia de estar ciente,google_ai_overview,produto e categoria,sem categoria,0,,,2,5,87,173,hisense,1
sistema syens,google_ai_overview,produto e categoria,sem categoria,0,,,2,4,87,173,hisense,1
siente ciente,google_ai_overview,produto e categoria,sem categoria,0,,,2,4,87,173,hisense,1
tradução insight,google_ai_overview,produto e categoria,sem categoria,0,,,2,6,87,173,hisense,1
insights tradução,google_ai_overview,produto e categoria,sem categoria,0,,,2,8,87,173,hisense,1
palavra ciente,google_ai_overview,produto e categoria,sem categoria,0,,,2,8,87,173,hisense,1
Quais são as diferenças entre os termos 'Lelo Zaneti' e 'Zaneti' quando procuro pessoas públicas online?,google_ai_mode,produto e categoria,sem categoria,0,,,2,4,87,173,hisense,1
Insights e Significados,google_ai_mode,produto e categoria,sem categoria,0,,,2,10,87,173,hisense,1
ciente sinonimo,google_ai_overview,produto e categoria,sem categoria,0,,,2,2,87,173,hisense,1
dar ciência significado,google_ai_overview,produto e categoria,sem categoria,0,,,2,6,87,173,hisense,1
Quais são as tendências de pesquisa e consumo relacionadas a 'interessências' no Brasil atualmente?,chatgpt,consumo e energia,sem categoria,0,,,2,20,87,173,hisense,1
o que e insight,google_ai_overview,produto e categoria,sem categoria,0,,,2,6,87,173,hisense,1
JP Higi Phrases,gemini,produto e categoria,sem categoria,0,,,2,0,87,173,hisense,1
雑旅ってどういう意味ですか？アニメや日本語表現の文脈でどんな場面で使われますか？,gemini,produto e categoria,sem categoria,0,,,2,0,87,173,hisense,1
Gunas e Filosofia Indiana,gemini,produto e categoria,sem categoria,0,,,2,4,87,173,hisense,1
significado de web,google_ai_overview,produto e categoria,sem categoria,0,,,2,12,87,173,hisense,1
sistema vrb,google_ai_overview,produto e categoria,sem categoria,0,,,2,4,87,173,hisense,1
ai da china,google_ai_overview,produto e categoria,sem categoria,0,,,2,11,87,173,hisense,1
que website,google_ai_overview,produto e categoria,sem categoria,0,,,2,7,87,173,hisense,1
Hainan Adası (Çin),google_ai_mode,produto e categoria,sem categoria,0,,,2,21,87,173,hisense,1
Quatenus Online Ecosystem,chatgpt,produto e categoria,sem categoria,0,,,2,12,87,173,hisense,1
rajas,google_ai_overview,produto e categoria,sem categoria,0,,,2,0,87,173,hisense,1
o que quer dizer insights,google_ai_overview,produto e categoria,sem categoria,0,,,2,9,87,173,hisense,1
ciencia sinonimos,google_ai_overview,produto e categoria,sem categoria,0,,,2,6,87,173,hisense,1
manuz,google_ai_overview,produto e categoria,sem categoria,0,,,2,5,87,173,hisense,1
Qual é a diferença entre heijunka e Kanban no Lean e como eles se complementam?,chatgpt,comparacao e modelo,sem categoria,0,,,2,24,87,173,hisense,1
Qual é a diferença entre heijunka e Kanban no Lean e como eles se complementam?,gemini,comparacao e modelo,sem categoria,0,,,2,0,87,173,hisense,1
hiss,google_ai_overview,produto e categoria,sem categoria,0,,,2,4,87,173,hisense,1
site em português,google_ai_overview,produto e categoria,sem categoria,0,,,2,9,87,173,hisense,1
cientes,google_ai_overview,produto e categoria,sem categoria,0,,,2,3,87,173,hisense,1
o que é o site,google_ai_overview,produto e categoria,sem categoria,0,,,2,18,87,173,hisense,1
o que e sites,google_ai_overview,produto e categoria,sem categoria,0,,,2,10,87,173,hisense,1
web site ou website,google_ai_overview,produto e categoria,sem categoria,0,,,2,9,87,173,hisense,1
viscondedoriobranco sistemasyens com br,google_ai_overview,produto e categoria,sem categoria,0,,,2,2,87,173,hisense,1
o que um site,google_ai_overview,produto e categoria,sem categoria,0,,,2,9,87,173,hisense,1
hyeser,google_ai_overview,produto e categoria,sem categoria,0,,,2,8,87,173,hisense,1
ホシンカンリと他の戦略計画手法の違いは何ですか？,chatgpt,produto e categoria,sem categoria,0,,,2,12,87,173,hisense,1
insaites,google_ai_overview,produto e categoria,sem categoria,0,,,2,10,87,173,hisense,1
manu ia,google_ai_overview,produto e categoria,sem categoria,0,,,2,7,87,173,hisense,1
sinonimo de ciente,google_ai_overview,produto e categoria,sem categoria,0,,,2,2,87,173,hisense,1
Quais são os significados mais comuns de insights em português e como eles são usados no dia a dia?,google_ai_mode,produto e categoria,sem categoria,0,,,2,10,87,173,hisense,1
sinonimos de ciencia,google_ai_overview,produto e categoria,sem categoria,0,,,2,2,87,173,hisense,1
ia manaus china,google_ai_overview,produto e categoria,sem categoria,0,,,2,9,87,173,hisense,1
manos ia,google_ai_overview,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
ciencia de ciente tem acento,google_ai_overview,produto e categoria,sem categoria,0,,,1,6,87,173,hisense,1
"Quais serviços o HBento oferece e onde posso encontrar informações oficiais ( LinkedIn, Instagram, site )?",google_ai_mode,produto e categoria,sem categoria,0,,,1,3,87,173,hisense,1
"Quais serviços o HBento oferece e onde posso encontrar informações oficiais ( LinkedIn, Instagram, site )?",chatgpt,produto e categoria,sem categoria,0,,,1,22,87,173,hisense,1
Heijunka e Kanban,chatgpt,produto e categoria,sem categoria,0,,,1,13,87,173,hisense,1
Heijunka e Kanban,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
HBento Saúde,google_ai_mode,produto e categoria,sem categoria,0,,,1,5,87,173,hisense,1
siente,google_ai_overview,produto e categoria,sem categoria,0,,,1,2,87,173,hisense,1
Manus IA,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
pururin,google_ai_overview,produto e categoria,sem categoria,0,,,1,4,87,173,hisense,1
maus ia,google_ai_overview,produto e categoria,sem categoria,0,,,1,4,87,173,hisense,1
Como escolher entre as linhas de camisetas e roupas íntimas da Hanes disponíveis no país?,gemini,comparacao e modelo,lavanderia,0,,,1,0,87,173,hisense,1
manus i.a,google_ai_overview,produto e categoria,sem categoria,0,,,1,8,87,173,hisense,1
How can I prepare for HIMSS 2025 to maximize networking and learning opportunities?,google_ai_mode,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
o que é website,google_ai_overview,produto e categoria,sem categoria,0,,,1,8,87,173,hisense,1
Onde posso encontrar peças ou assistência para geladeiras Hisense no Brasil?,chatgpt,assistencia e conserto,geladeira,1,hisense,hisense,1,12,87,173,hisense,1
siente ou ciente qual o correto,google_ai_overview,comparacao e modelo,sem categoria,0,,,1,5,87,173,hisense,1
Ulaşım açısından Hainan'da hangi şehirler arası veya ada içi ulaşım seçenekleri daha konforlu ve uygun?,chatgpt,produto e categoria,sem categoria,0,,,1,11,87,173,hisense,1
o que e um website,google_ai_overview,produto e categoria,sem categoria,0,,,1,4,87,173,hisense,1
Perfis Zaneti,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
geladeira hisense,google_ai_overview,produto e categoria,geladeira,1,hisense,hisense,1,7,87,173,hisense,1
i.a manus,google_ai_overview,produto e categoria,sem categoria,0,,,1,8,87,173,hisense,1
Which HIMSS conference tracks or sessions are best for someone new to health IT?,google_ai_mode,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
Which HIMSS conference tracks or sessions are best for someone new to health IT?,chatgpt,produto e categoria,sem categoria,0,,,1,12,87,173,hisense,1
Why is 'hiss' linked with Megan Thee Stallion in media and lyrics?,google_ai_mode,produto e categoria,sem categoria,0,,,1,11,87,173,hisense,1
"What are the main topics and exhibitors at HIMSS, and how can I identify the most relevant ones for my work?",google_ai_mode,produto e categoria,sem categoria,0,,,1,11,87,173,hisense,1
Hyeser no Brasil,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
geladeira inverse hisense,google_ai_overview,produto e categoria,geladeira,1,hisense,hisense,1,8,87,173,hisense,1
hoshin,google_ai_overview,produto e categoria,sem categoria,0,,,1,9,87,173,hisense,1
tenho ciencia disso,google_ai_overview,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
Quais os principais benefícios de usar heijunka para reduzir variações e forçar o fluxo?,google_ai_mode,produto e categoria,sem categoria,0,,,1,5,87,173,hisense,1
Quais os principais benefícios de usar heijunka para reduzir variações e forçar o fluxo?,chatgpt,produto e categoria,sem categoria,0,,,1,22,87,173,hisense,1
Quais os principais benefícios de usar heijunka para reduzir variações e forçar o fluxo?,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
side by side hisense,google_ai_overview,especificacao de produto,sem categoria,0,hisense,hisense,1,8,87,173,hisense,1
hisense geladeira é boa,google_ai_overview,produto e categoria,geladeira,1,hisense,hisense,1,5,87,173,hisense,1
O que significa o termo 'Interessências' e como ele ganhou relevância no Rio Preto?,google_ai_mode,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
geladeira hisense é boa,google_ai_overview,produto e categoria,geladeira,1,hisense,hisense,1,7,87,173,hisense,1
desencargo de conciencia,google_ai_overview,produto e categoria,sem categoria,0,,,1,5,87,173,hisense,1
refrigerador hisense,google_ai_overview,produto e categoria,geladeira,1,hisense,hisense,1,7,87,173,hisense,1
heijunka,google_ai_overview,produto e categoria,sem categoria,0,,,1,8,87,173,hisense,1
o que é enviesado,google_ai_overview,produto e categoria,sem categoria,0,,,1,6,87,173,hisense,1
geladeira essence,google_ai_overview,produto e categoria,geladeira,1,,hisense,1,10,87,173,hisense,1
sistema syens visconde do rio branco,google_ai_overview,produto e categoria,sem categoria,0,,,1,5,87,173,hisense,1
hisense geladeira,google_ai_overview,produto e categoria,geladeira,1,hisense,hisense,1,17,87,173,hisense,1
Sistema Syens VRB,google_ai_mode,produto e categoria,sem categoria,0,,,1,5,87,173,hisense,1
Sistema Syens VRB,chatgpt,produto e categoria,sem categoria,0,,,1,12,87,173,hisense,1
o que são insight,google_ai_overview,produto e categoria,sem categoria,0,,,1,8,87,173,hisense,1
sistemasyens,google_ai_overview,produto e categoria,sem categoria,0,,,1,6,87,173,hisense,1
Quid differenti Quatenus a ceteris systematibus login et quo modo intrare tenebris securam collationem praebet?,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
Quid differenti Quatenus a ceteris systematibus login et quo modo intrare tenebris securam collationem praebet?,chatgpt,produto e categoria,sem categoria,0,,,1,12,87,173,hisense,1
小規模企業でホシンカンリを導入する具体的な手順を教えてください。,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
por desencargo de consciência,google_ai_overview,produto e categoria,sem categoria,0,,,1,3,87,173,hisense,1
como se escreve a palavra ciente,google_ai_overview,produto e categoria,sem categoria,0,,,1,3,87,173,hisense,1
Como posso identificar o idioma de expressões curtas como 'jp higi' e 'jphigi' usando apenas o código ISO de dois letters?,google_ai_mode,produto e categoria,sem categoria,0,,,1,2,87,173,hisense,1
Como posso identificar o idioma de expressões curtas como 'jp higi' e 'jphigi' usando apenas o código ISO de dois letters?,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
descargo ou desencargo de consciência,google_ai_overview,produto e categoria,sem categoria,0,,,1,5,87,173,hisense,1
inteligência artificial manus,google_ai_overview,produto e categoria,sem categoria,0,,,1,9,87,173,hisense,1
HIMSS Conference & Health IT,google_ai_mode,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
comprar acesso manus,google_ai_overview,preco e compra,sem categoria,0,,,1,5,87,173,hisense,1
"Quae sunt optimae facultates Quatenus de securitate et trackinge, quae te facere cupis?",gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
hisense u7n,google_ai_overview,produto e categoria,sem categoria,0,hisense,hisense,1,9,87,173,hisense,1
Existem variações de grafia ou pseudônimos relacionados a 'Hyeser' que eu devo considerar ao buscar por esse grupo de termos?,google_ai_mode,produto e categoria,sem categoria,0,,,1,2,87,173,hisense,1
inviesada,google_ai_overview,produto e categoria,sem categoria,0,,,1,6,87,173,hisense,1
Você pode me explicar o que é o Sistema Syens VRB e como ele é usado no dia a dia?,chatgpt,produto e categoria,sem categoria,0,,,1,24,87,173,hisense,1
estou ciente,google_ai_overview,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
i.a. manus,google_ai_overview,produto e categoria,sem categoria,0,,,1,11,87,173,hisense,1
o que são insights,google_ai_overview,produto e categoria,sem categoria,0,,,1,12,87,173,hisense,1
"Quais domínios brasileiros comuns (educação, uniformes, empresas locais) costumam usar siglas parecidas com 'jp higi' em seus nomes ou marcas?",chatgpt,produto e categoria,sem categoria,0,,,1,12,87,173,hisense,1
hisense freezer,google_ai_overview,produto e categoria,freezer,1,hisense,hisense,1,5,87,173,hisense,1
O que é o HBento e como ele se posiciona no setor de saúde no Brasil?,chatgpt,produto e categoria,sem categoria,0,,,1,12,87,173,hisense,1
O que é o HBento e como ele se posiciona no setor de saúde no Brasil?,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
visconde do rio branco sistema syens,google_ai_overview,produto e categoria,sem categoria,0,,,1,4,87,173,hisense,1
geladeiras hisense,google_ai_overview,produto e categoria,geladeira,1,hisense,hisense,1,5,87,173,hisense,1
Geladeiras Hisense,google_ai_mode,produto e categoria,geladeira,1,hisense,hisense,1,17,87,173,hisense,1
Geladeiras Hisense,gemini,produto e categoria,geladeira,1,hisense,hisense,1,0,87,173,hisense,1
manus ai é gratuito,google_ai_overview,produto e categoria,sem categoria,0,,,1,4,87,173,hisense,1
hiss traducao,google_ai_overview,produto e categoria,sem categoria,0,,,1,9,87,173,hisense,1
para ciência de todos significado,google_ai_overview,produto e categoria,sem categoria,0,,,1,5,87,173,hisense,1
"Existe alguma diferença entre as várias siglas como 'VRB', 'Visconde do Rio Branco' relacionadas ao Sistema Syens que eu deva conhecer?",google_ai_mode,comparacao e modelo,sem categoria,0,,,1,11,87,173,hisense,1
"Existe alguma diferença entre as várias siglas como 'VRB', 'Visconde do Rio Branco' relacionadas ao Sistema Syens que eu deva conhecer?",chatgpt,comparacao e modelo,sem categoria,0,,,1,12,87,173,hisense,1
manaus ai,google_ai_overview,produto e categoria,sem categoria,0,,,1,9,87,173,hisense,1
ciência ciente,google_ai_overview,produto e categoria,sem categoria,0,,,1,4,87,173,hisense,1
jp higi,google_ai_overview,produto e categoria,sem categoria,0,,,1,4,87,173,hisense,1
termo de ciência,google_ai_overview,produto e categoria,sem categoria,0,,,1,6,87,173,hisense,1
defina insight,google_ai_overview,produto e categoria,sem categoria,0,,,1,12,87,173,hisense,1
definir site,google_ai_overview,produto e categoria,sem categoria,0,,,1,16,87,173,hisense,1
"Hainan'da gezilecek başlıca yerler ve plajlar nelerdir, gezinizi hangi sırayla planlamalıyım?",gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
Quais são as diferenças entre os termos 'Lelo Zaneti' e 'Zaneti' quando procuro pessoas públicas online?,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
Quais são as diferenças entre os termos 'Lelo Zaneti' e 'Zaneti' quando procuro pessoas públicas online?,chatgpt,produto e categoria,sem categoria,0,,,1,13,87,173,hisense,1
Quais são as tendências de pesquisa e consumo relacionadas a 'interessências' no Brasil atualmente?,google_ai_mode,consumo e energia,sem categoria,0,,,1,4,87,173,hisense,1
Quais funções principais o Sistema Syens oferece para usuários de órgãos públicos?,chatgpt,produto e categoria,sem categoria,0,,,1,20,87,173,hisense,1
Hentai Kaiフレーズ集,chatgpt,produto e categoria,sem categoria,0,,,1,6,87,173,hisense,1
雑旅ってどういう意味ですか？アニメや日本語表現の文脈でどんな場面で使われますか？,google_ai_mode,produto e categoria,sem categoria,0,,,1,4,87,173,hisense,1
雑旅ってどういう意味ですか？アニメや日本語表現の文脈でどんな場面で使われますか？,chatgpt,produto e categoria,sem categoria,0,,,1,12,87,173,hisense,1
manos ai,google_ai_overview,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
Quais são os passos práticos para implementar um heijunka box na minha linha de produção?,chatgpt,produto e categoria,sem categoria,0,,,1,19,87,173,hisense,1
cervejeira hisense,google_ai_overview,produto e categoria,sem categoria,0,hisense,hisense,1,5,87,173,hisense,1
ia manu,google_ai_overview,produto e categoria,sem categoria,0,,,1,11,87,173,hisense,1
heijunka box,google_ai_overview,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
acesso profissional sistema syens,google_ai_overview,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
Quais são as diferenças entre os modelos Hisense side by side e French Door?,google_ai_mode,especificacao de produto,sem categoria,0,hisense,hisense,1,10,87,173,hisense,1
Quais são as diferenças entre os modelos Hisense side by side e French Door?,gemini,especificacao de produto,sem categoria,0,hisense,hisense,1,2,87,173,hisense,1
Quais são as diferenças entre os modelos Hisense side by side e French Door?,chatgpt,especificacao de produto,sem categoria,0,hisense,hisense,1,12,87,173,hisense,1
Quatenus Online Ecosystem,google_ai_mode,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
Quatenus Online Ecosystem,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
h.i.s.s.,google_ai_overview,produto e categoria,sem categoria,0,,,1,1,87,173,hisense,1
adega hisense,google_ai_overview,produto e categoria,adega,1,hisense,hisense,1,8,87,173,hisense,1
o que significa insights,google_ai_overview,produto e categoria,sem categoria,0,,,1,8,87,173,hisense,1
insights sinonimos,google_ai_overview,produto e categoria,sem categoria,0,,,1,6,87,173,hisense,1
O Homem e o Pensamento,chatgpt,produto e categoria,sem categoria,0,,,1,13,87,173,hisense,1
O Homem e o Pensamento,google_ai_mode,produto e categoria,sem categoria,0,,,1,5,87,173,hisense,1
o que é um website,google_ai_overview,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
inviesado,google_ai_overview,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
o que e um site,google_ai_overview,produto e categoria,sem categoria,0,,,1,12,87,173,hisense,1
雑旅ボキャブラリー,chatgpt,produto e categoria,sem categoria,0,,,1,12,87,173,hisense,1
雑旅ボキャブラリー,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
manus.im,google_ai_overview,produto e categoria,sem categoria,0,,,1,10,87,173,hisense,1
o que é um site,google_ai_overview,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
What is HIMSS and how does it influence healthcare technology adoption?,google_ai_mode,produto e categoria,sem categoria,0,,,1,4,87,173,hisense,1
What is HIMSS and how does it influence healthcare technology adoption?,chatgpt,produto e categoria,sem categoria,0,,,1,22,87,173,hisense,1
sabara.sistemasyens.com.br,google_ai_overview,produto e categoria,sem categoria,0,,,1,3,87,173,hisense,1
Quais são os requisitos para ter acesso profissional ao Sistema Syens e qual é o procedimento de login?,chatgpt,comparacao e modelo,sem categoria,0,,,1,16,87,173,hisense,1
manos.ia,google_ai_overview,produto e categoria,sem categoria,0,,,1,9,87,173,hisense,1
ia manus,google_ai_overview,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
manusa ia,google_ai_overview,produto e categoria,sem categoria,0,,,1,8,87,173,hisense,1
Hainan'ın lezzetleri ve geleneksel yemekleri nelerdir; nereden tatmalı ve hangi restoranları önerebilirsin?,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
Hainan'ın lezzetleri ve geleneksel yemekleri nelerdir; nereden tatmalı ve hangi restoranları önerebilirsin?,google_ai_mode,produto e categoria,sem categoria,0,,,1,16,87,173,hisense,1
manus[,google_ai_overview,produto e categoria,sem categoria,0,,,1,5,87,173,hisense,1
Quais são as principais aplicações de uma IA chamada Manus IA e como ela pode ajudar no meu dia a dia?,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
Quais são as principais aplicações de uma IA chamada Manus IA e como ela pode ajudar no meu dia a dia?,chatgpt,produto e categoria,sem categoria,0,,,1,17,87,173,hisense,1
qual é o site,google_ai_overview,comparacao e modelo,sem categoria,0,,,1,5,87,173,hisense,1
Quais são as melhores opções de geladeira Hisense para uma família de 4 pessoas?,google_ai_mode,comparacao e modelo,geladeira,1,hisense,hisense,1,11,87,173,hisense,1
Quais são as melhores opções de geladeira Hisense para uma família de 4 pessoas?,gemini,comparacao e modelo,geladeira,1,hisense,,1,0,87,173,hisense,1
Quais são as melhores opções de geladeira Hisense para uma família de 4 pessoas?,chatgpt,comparacao e modelo,geladeira,1,hisense,,1,13,87,173,hisense,1
Hainan Adası'nı ziyaret etmek için en iyi mevsim hangisidir ve hava koşulları nasıldır?,google_ai_mode,produto e categoria,sem categoria,0,,,1,15,87,173,hisense,1
insite ou insight,google_ai_overview,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
Quais obras clássicas exploram a ideia de 'o homem é aquilo que pensa' e onde posso lê-las?,google_ai_mode,produto e categoria,sem categoria,0,,,1,7,87,173,hisense,1
Quais são os significados mais comuns de insights em português e como eles são usados no dia a dia?,gemini,produto e categoria,sem categoria,0,,,1,0,87,173,hisense,1
"Como diferenciar Sattva, Rajas e Tamas na prática do dia a dia?",google_ai_mode,produto e categoria,sem categoria,0,,,1,11,87,173,hisense,1
o que o homem pensa,google_ai_overview,produto e categoria,sem categoria,0,,,1,5,87,173,hisense,1
検索時に有効な関連キーワードや検索クエリの例を知りたいです、例えばどんな語を組み合わせると良いですか？,google_ai_mode,produto e categoria,sem categoria,0,,,1,4,87,173,hisense,1
ホシンカンリを実践する際のよくある落とし穴とそれを回避する方法を教えてください。,chatgpt,produto e categoria,sem categoria,0,,,0,12,87,173,hisense,1
ホシンカンリを実践する際のよくある落とし穴とそれを回避する方法を教えてください。,google_ai_mode,produto e categoria,sem categoria,0,,,0,0,87,173,hisense,1
ホシンカンリを実践する際のよくある落とし穴とそれを回避する方法を教えてください。,gemini,produto e categoria,sem categoria,0,,,0,4,87,173,hisense,1
zatsu tabi のニュアンスを活かした自然な日本語翻訳や英語訳はどう表現しますか？,google_ai_mode,produto e categoria,sem categoria,0,,,0,0,87,173,hisense,1
zatsu tabi のニュアンスを活かした自然な日本語翻訳や英語訳はどう表現しますか？,gemini,produto e categoria,sem categoria,0,,,0,0,87,173,hisense,1
zatsu tabi のニュアンスを活かした自然な日本語翻訳や英語訳はどう表現しますか？,chatgpt,produto e categoria,sem categoria,0,,,0,12,87,173,hisense,1
Heijunka e Kanban,google_ai_mode,produto e categoria,sem categoria,0,,,0,5,87,173,hisense,1
Quais exemplos práticos de uso em frases cotidianas você recomendaria para entender melhor esse termo,chatgpt,comparacao e modelo,sem categoria,0,,,0,12,87,173,hisense,1
Quais exemplos práticos de uso em frases cotidianas você recomendaria para entender melhor esse termo,gemini,comparacao e modelo,sem categoria,0,,,0,0,87,173,hisense,1
Quais exemplos práticos de uso em frases cotidianas você recomendaria para entender melhor esse termo,google_ai_mode,comparacao e modelo,sem categoria,0,,,0,4,87,173,hisense,1
ciencia sinonimo,google_ai_overview,produto e categoria,sem categoria,0,,consul,0,2,87,173,hisense,1
Como escolher entre diferentes técnicas de Kanban para suportar um sistema de produção heijunka?,chatgpt,assistencia e conserto,sem categoria,0,,,0,12,87,173,hisense,1
Como escolher entre diferentes técnicas de Kanban para suportar um sistema de produção heijunka?,gemini,assistencia e conserto,sem categoria,0,,,0,0,87,173,hisense,1
Como escolher entre diferentes técnicas de Kanban para suportar um sistema de produção heijunka?,google_ai_mode,assistencia e conserto,sem categoria,0,,,0,11,87,173,hisense,1
HBento Saúde,gemini,produto e categoria,sem categoria,0,,,0,0,87,60,hisense,1
Quais são os sinônimos mais usados de 'insight' e como escolher o melhor em um texto?,google_ai_mode,comparacao e modelo,sem categoria,0,,,0,10,87,173,hisense,1
Quais são os sinônimos mais usados de 'insight' e como escolher o melhor em um texto?,gemini,comparacao e modelo,sem categoria,0,,,0,0,87,173,hisense,1
Quais são os sinônimos mais usados de 'insight' e como escolher o melhor em um texto?,chatgpt,comparacao e modelo,sem categoria,0,,,0,11,87,173,hisense,1
insights traducao,google_ai_overview,produto e categoria,sem categoria,0,,,0,7,87,173,hisense,1
この語彙がネット検索で使われる場面や文脈を具体的に例示してくれますか？,google_ai_mode,produto e categoria,sem categoria,0,,,0,4,87,173,hisense,1
この語彙がネット検索で使われる場面や文脈を具体的に例示してくれますか？,gemini,produto e categoria,sem categoria,0,,,0,0,87,173,hisense,1
この語彙がネット検索で使われる場面や文脈を具体的に例示してくれますか？,chatgpt,produto e categoria,sem categoria,0,,,0,13,87,173,hisense,1
o que site,google_ai_overview,produto e categoria,sem categoria,0,,,0,7,87,173,hisense,1
ciente sinônimo,google_ai_overview,produto e categoria,sem categoria,0,,consul,0,2,87,173,hisense,1
このジャンルを検索・視聴する際の注意点やマナーは何ですか？,chatgpt,produto e categoria,sem categoria,0,,,0,12,87,173,hisense,1
